,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA_x,Tiempo_Supervivencia,ID,HORA,HH,DIA_SEMANA_y,TIPO_DE_CALLE,pos x,pos y,coordenada_x,coordenada_y,ACUSADO
37,2016-0050,2016-04-19,2016,4,19.0,PEATON,PEATON,MASCULINO,78.0,2016-04-19,Martes,0 days,2016-0050,9:50:00,9.0,1.0,AVENIDA,-58.47305463,-34.68550712,99106.1471895,93761.32882893,PASAJEROS
38,2016-0051,2016-04-20,2016,4,20.0,CONDUCTOR,MOTO,MASCULINO,36.0,2016-04-20,Miércoles,0 days,2016-0051,4:00:00,4.0,2.0,AVENIDA,-58.40623949,-34.65076549,105230.9831575,97613.97258373,CARGAS
39,2016-0052,2016-04-20,2016,4,20.0,,MOTO,,,,Miércoles,,,,,,,,,,,
40,2016-0053,2016-04-22,2016,4,22.0,PEATON,PEATON,MASCULINO,38.0,2016-04-22,Viernes,0 days,2016-0053,9:30:00,9.0,4.0,AVENIDA,-58.4842918,-34.57558053,98073.8055777,105955.73972818,PASAJEROS
41,2016-0054,2016-04-23,2016,4,23.0,CONDUCTOR,MOTO,MASCULINO,30.0,2016-04-25,Sábado,2 days,2016-0054,21:00:00,21.0,5.0,AUTOPISTA,-58.48695354,-34.68795245,97832.57143731,93489.83736533,MOTO
42,2016-0055,2016-04-25,2016,4,25.0,PEATON,PEATON,MASCULINO,79.0,2016-04-28,Lunes,3 days,2016-0055,20:30:00,20.0,0.0,AVENIDA,-58.40021959,-34.57964781,105787.74102401,105502.98340149,CARGAS
43,2016-0056,2016-04-26,2016,4,26.0,CONDUCTOR,MOTO,MASCULINO,26.0,2016-04-26,Martes,0 days,2016-0056,4:45:00,4.0,1.0,AVENIDA,-58.42957885,-34.57660058,103094.06446966,105842.29634122,OBJETO FIJO
44,2016-0058,2016-05-04,2016,5,4.0,PEATON,PEATON,FEMENINO,57.0,2016-05-08,Miércoles,4 days,2016-0058,14:00:00,14.0,2.0,CALLE,-58.38247542,-34.62556293,107411.76356149,100408.31441284,MOTO
45,2016-0059,2016-05-08,2016,5,8.0,PEATON,PEATON,MASCULINO,37.0,2016-05-26,Domingo,18 days,2016-0059,16:30:00,16.0,6.0,CALLE,-58.38222219,-34.62728101,107434.83290791,100217.70308007,PASAJEROS
46,2016-0064,2016-05-14,2016,5,14.0,PEATON,PEATON,MASCULINO,20.0,,Sábado,,2016-0064,18:11:00,18.0,5.0,AVENIDA,-58.49485242,-34.62953445,97106.70264812,99970.19547024,PASAJEROS
47,2016-0065,2016-05-20,2016,5,20.0,PEATON,PEATON,MASCULINO,20.0,2016-05-20,Viernes,0 days,2016-0065,14:40:00,14.0,4.0,AVENIDA,-58.45227946,-34.61068024,101010.75965434,102062.1818597,AUTO
48,2016-0067,2016-05-21,2016,5,21.0,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0,,Sábado,,2016-0067,17:00:00,17.0,5.0,AVENIDA,-58.48455411,-34.6751276,98052.13008621,94912.60873025,PASAJEROS
49,2016-0068,2016-05-22,2016,5,22.0,CONDUCTOR,MOTO,MASCULINO,58.0,,Domingo,,2016-0068,22:00:00,22.0,6.0,AVENIDA,-58.39056593,-34.58418569,106673.12856878,104998.9923422,PASAJEROS
50,2016-0069,2016-05-23,2016,5,23.0,CONDUCTOR,AUTO,MASCULINO,30.0,2016-05-23,Lunes,0 days,2016-0069,3:30:00,3.0,0.0,AVENIDA,-58.39118948,-34.62704273,106612.54991859,100244.75667446,CARGAS
51,2016-0073,2016-06-11,2016,6,11.0,CONDUCTOR,MOTO,MASCULINO,23.0,,Sábado,,2016-0073,15:00:00,15.0,5.0,CALLE,-58.49021952,-34.62025108,97531.2479284,101000.15957301,CARGAS
52,2016-0074,2016-06-12,2016,6,12.0,CONDUCTOR,AUTO,MASCULINO,60.0,,Domingo,,2016-0074,6:40:00,6.0,6.0,GRAL PAZ,-58.49896559,-34.67732118,96731.44252651,94668.88351657,AUTO
53,2016-0075,2016-06-12,2016,6,12.0,PEATON,PEATON,MASCULINO,42.0,2016-06-12,Domingo,0 days,2016-0075,23:13:00,23.0,6.0,AUTOPISTA,-58.47461076,-34.66874679,98963.3296283,95620.61360192,AUTO
54,2016-0076,2016-06-13,2016,6,13.0,PEATON,PEATON,FEMENINO,53.0,2016-06-13,Lunes,0 days,2016-0076,16:20:00,16.0,0.0,AVENIDA,-58.46210891,-34.60356211,100109.22264405,102851.8694276,PASAJEROS
55,2016-0077,2016-06-13,2016,6,13.0,PEATON,PEATON,FEMENINO,,,Lunes,,2016-0077,21:52:00,21.0,0.0,AVENIDA,-58.3702777,-34.60536123,108532.37320501,102648.4041872,PASAJEROS
56,2016-0078,2016-06-13,2016,6,13.0,CONDUCTOR,MOTO,MASCULINO,30.0,,Lunes,,2016-0078,23:01:00,23.0,0.0,AVENIDA,-58.40491455,-34.6146383,105354.74322032,101621.63182427,MOTO
57,2016-0079,2016-06-16,2016,6,16.0,CONDUCTOR,AUTO,FEMENINO,51.0,,Jueves,,2016-0079,17:13:00,17.0,3.0,AVENIDA,-58.45504154,-34.54864492,100757.94817512,108943.96108781,AUTO
58,2016-0080,2016-06-18,2016,6,18.0,CONDUCTOR,AUTO,MASCULINO,60.0,,Sábado,,2016-0080,6:42:00,6.0,5.0,GRAL PAZ,-58.52927982,-34.63931752,93950.50587297,98883.37644525,
59,2016-0081,2016-06-22,2016,6,22.0,CONDUCTOR,MOTO,MASCULINO,40.0,,Miércoles,,2016-0081,7:42:00,7.0,2.0,AVENIDA,-58.4872106,-34.55904606,97805.54034401,107789.89169078,AUTO
60,2016-0082,2016-06-27,2016,6,27.0,PEATON,PEATON,MASCULINO,87.0,2016-07-05,Lunes,8 days,2016-0082,18:24:00,18.0,0.0,AVENIDA,-58.42273092,-34.64228803,103719.51591058,98555.13443768,AUTO
61,2016-0083,2016-06-28,2016,6,28.0,PEATON,PEATON,FEMENINO,76.0,2016-06-29,Martes,1 days,2016-0083,20:46:00,20.0,1.0,AVENIDA,-58.44788671,-34.62539009,101413.41644585,100430.31523295,MOTO
62,2016-0084,2016-06-29,2016,6,29.0,PEATON,PEATON,MASCULINO,57.0,2016-07-08,Miércoles,9 days,2016-0084,22:00:00,22.0,2.0,CALLE,-58.38110563,-34.60135531,107539.54864414,103093.65031518,PASAJEROS
